id,geocoder,lat,lon
1f2d204f-e773-4361-9158-0008307dbd5e,mapquest,47.511105,-92.549222
4fd3ed5a-efa4-4a20-b11d-0148c42cb029,open_cage,45.0504105,-93.0615446
0f7464b4-0891-4ac5-b1c7-021326702910,open_cage,45.319902,-93.564261
0909786f-7ca8-4f88-91a0-02bbca3d7b97,mapquest,44.939874,-93.144947
8b2be36a-c175-4dcb-b344-030b17508406,open_cage,44.9705181,-93.2777072
9ea4bf29-9c11-4871-b310-0313eba93b65,mapquest,44.900571,-93.5694
c62469ba-a90f-47f0-a8d3-03abd1551537,mapbox,44.969831,-93.447954
1f94e2f2-0427-4607-81d1-04604d9a2179,open_cage,44.9499612,-93.0268185
a92866a5-729a-4b6d-a36e-067f23a805bb,mapquest,45.052441,-93.364585
eea5994a-a888-40fc-ae2c-079cc9231573,open_cage,44.9374585,-92.9381483
ec78dc88-2383-438f-903e-07c2e3598e3f,mapbox,44.02199,-92.462565
6ddb9cd3-8034-4150-9023-07f664b80d52,open_cage,45.0646454,-93.1466918
ba389dcf-a1ff-49db-a619-08d38cf41f02,mapquest,46.808615,-92.168135
37ee477f-0d3c-4432-a878-0971fb2a0981,mapbox,44.964784,-93.235762
df1bb085-cb53-41ef-b028-0da03803c37d,mapquest,44.789619,-93.210718
9f3a847c-2bae-48fc-9878-0e79d3c5c39d,mapquest,44.16683,-93.949986
87657687-4e08-4672-9217-0edb45b38805,open_cage,45.0393568,-93.0173851
75f30881-93fb-4474-80e4-0f094fa56b0c,mapbox,47.209275,-93.527008
1d03c39d-cddc-4680-bc99-0f52493c6543,mapbox,44.775965,-93.414482
ea975a92-51cc-4ad3-a4db-1090488f2130,mapbox,46.804327,-92.159523
124ab8e7-269f-4e91-a49b-11d000935c76,mapquest,44.88351,-93.211374
d16c802f-52d5-402b-87ae-121aac7f6106,mapbox,45.293582,-93.773048
8f3c3c1a-e4db-471a-a21f-129e61bceca6,mapquest,44.835822,-93.400353
47d8fe27-c0f3-46b0-9e17-146c9eb4646b,open_cage,44.9178345,-93.188226
96cca227-c5a6-4e52-bd89-16ad4dc5ec34,mapquest,44.881067,-93.325872
b29fad61-f285-4176-bd8d-16e51751f1ce,open_cage,45.1032467,-93.4921597
72a65138-a46e-4010-a920-16e6bc822239,open_cage,45.5665761,-94.1446662
bd4853a9-3714-4f53-aafd-17564890fee3,mapbox,44.96816,-93.437218
f8d22eba-1768-4171-8904-17d99f70dea8,mapbox,44.949643,-93.236806
97e71528-36d0-427e-b799-1a7637598f0c,open_cage,44.9164462,-93.0806048
7317cc6d-3705-4433-bab3-1ae373ceea41,open_cage,44.8198703,-92.9414852
eb5f23e9-5589-4b55-ad61-1b9c04003315,open_cage,45.1364866,-93.474892
a23be716-2242-4155-b3bc-1c8143bb76a6,mapbox,44.981587,-93.235973
04bd72cb-401f-42cf-8c33-1dff06dfb3c6,mapquest,44.96867,-93.51011
16353ae7-9422-40eb-9f24-1e2da4f62946,mapbox,44.974529,-93.233536
753fd7c6-56b3-4027-ab3f-2075e8adca5b,mapbox,45.54386,-94.20398
0a35195c-b5d5-4d08-81fc-2196777e0ce4,mapbox,45.09965,-93.450126
72ce3e56-4d4e-4250-8989-22e69202da6b,mapbox,44.750648,-93.379009
500d82bf-0897-4f0a-82e2-23f732b50288,open_cage,44.9705181,-93.2777072
e8052ec7-a666-44ab-b8f9-242dec353f8b,open_cage,44.071474,-92.5237426
70cdf565-9d45-4c36-a2e9-249befb7e1a4,mapbox,45.064752,-93.248592
a453ae63-dfb9-4138-862d-25c13eefb6da,mapbox,45.057011,-93.147841
3ac8a357-ef92-4c41-bec9-263a71f87eec,open_cage,44.9703622,-93.2869585
420dc54d-67af-47a4-9f0e-28099d2f5922,mapbox,45.00665,-93.16531
a83abb00-3e58-4928-8a03-294290578a4d,mapquest,44.9881152,-93.2239676
a962a723-0683-49b0-9bf5-2a3b073ff234,open_cage,44.9107781,-93.3553818
09de6738-36f5-4c7b-9683-2b0de11a23ed,mapbox,44.852849,-93.42907
54e8d837-1c75-4a46-a9ad-2b718df02c85,mapbox,45.017487,-93.481364
643ae95f-404c-42ed-9160-2b9d05d375f3,mapquest,44.88351,-93.211374
89a92211-4a31-4a84-a5ed-2c81b15b505c,open_cage,45.8861884,-95.3800876
f9feda94-1fe3-40c1-a9e0-2d4cdd701188,mapquest,44.977378,-93.273094
573da6f2-8b11-48a2-a14f-2e5342acf551,mapbox,45.03346,-93.02113
60b98ac9-c8c9-4ca4-9c2b-2e6eeb5d5b51,open_cage,45.046664,-93.539377
01fd9d03-251c-46b9-bf97-2edd54afdf98,mapbox,45.158629,-93.390808
6bbb2cab-6bed-4d16-b35d-2fd79e317442,open_cage,45.1971964,-93.5541326
a32802f1-d84d-4e7a-92eb-3019ea39c220,mapquest,44.827852,-93.601107
8c543e2b-fac0-424a-b32a-316541233e34,open_cage,44.9180829,-93.503401
1496c9f9-8094-4da8-8bb6-36741596474a,open_cage,44.746553,-93.286839
bf95e640-55da-44ab-acce-3a12f942693c,mapquest,44.74024,-93.29794
a6045b54-db6b-4b40-a6bf-3bffb8428bf7,mapbox,44.962506,-93.278368
0792c3e8-f443-4388-96f0-3cbd0d14c60a,mapquest,44.71497,-93.173743
f8b3a915-104d-48f7-8d03-3ce8506cbac1,mapbox,44.868133,-94.377959
4219627b-b731-44d1-90a3-3e5532a84ff0,open_cage,46.369441,-94.242976
9a24482e-3ff4-4036-be95-4186dbc6cc13,mapquest,45.03286,-93.38687
c5b22394-1f8e-4d5c-9191-42814e6a56e3,mapbox,45.274658,-93.000182
dca2ce70-73c3-4cc3-a9b9-434f10e3cefb,open_cage,45.079149,-93.062213
a0b26ec9-dde9-4e2d-9470-44633fc43ccd,mapbox,44.71352,-93.28019
f17ca8a7-f1b3-4021-98af-48fd6b09812b,open_cage,44.9401052,-93.1536278
2dbe4125-b383-4e78-8628-4bdee73a0a71,mapquest,45.07448,-93.01721
155f5f4b-21b5-4677-a23c-4db5f47712ca,mapquest,45.19444,-93.350133
8be65d1b-afc2-4169-9e94-50d5799947ec,mapbox,44.85848,-93.24485
0b7adae4-1c73-4429-aee4-5245a7d14d6f,mapquest,44.062953,-92.503559
7a8ee71f-f1cf-4e18-a1cf-52638ab32c14,open_cage,44.8400729,-93.7728292
247aa6b9-23c7-4ee0-b764-541131258ef7,mapquest,46.817281,-92.077701
ef72fb90-d4e0-42ae-a9ea-5988b4e677a1,mapquest,44.832632,-93.166561
db801875-8fc7-443e-bdbc-5a67d40fde8f,mapbox,44.94803,-93.333334
1590a00c-4e57-4031-861b-5f30174cc72b,mapbox,44.82653,-93.26365
5fdb075f-986d-4ba6-a141-606e12663bd0,open_cage,45.0372704,-92.83801
57a42c70-79a1-4f5b-96c2-612981aa30ad,open_cage,44.833597,-93.167178
9acd0ad1-b5da-40a0-a0dc-6164a89a92b8,open_cage,44.9335104,-93.3403346
ae3ee9ca-3eb7-4790-86ee-645eeb8d5ba9,mapbox,44.936186,-93.392443
1c45ccb8-5d5c-4abd-9ea6-680c7d562b29,mapquest,44.803335,-93.18606
3e00000e-a5ea-4072-9191-6826d010eb3f,mapquest,44.974115,-93.229488
dafca08a-1731-4a2c-96a6-6b0f8969e825,open_cage,44.861816,-93.252968
